instance,J,T,C,solver,time_limit(msec),status,objective,schedule
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C1-1.txt,30,40,15,yuck,600000,satisfied,122,"[27, 24, 14, 17, 9, 3, 12, 4, 29, 6, 23, 5, 11, 10, 21, 1, 26, 28, 19, 18, 22, 30, 2, 15, 7, 20, 16, 8, 25, 13]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C1-10.txt,30,40,15,yuck,600000,satisfied,104,"[14, 17, 10, 24, 2, 4, 12, 3, 25, 29, 23, 9, 21, 13, 11, 1, 26, 28, 8, 22, 20, 27, 30, 15, 18, 7, 16, 19, 6, 5]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C1-2.txt,30,40,15,yuck,600000,satisfied,136,"[14, 17, 3, 24, 9, 4, 12, 22, 29, 13, 25, 10, 23, 11, 5, 1, 28, 26, 27, 2, 30, 19, 16, 20, 15, 18, 7, 6, 8, 21]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C1-3.txt,30,40,15,yuck,600000,satisfied,112,"[17, 18, 14, 24, 9, 12, 4, 3, 25, 28, 23, 29, 13, 11, 26, 6, 1, 27, 10, 15, 2, 19, 20, 22, 16, 30, 7, 5, 8, 21]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C1-4.txt,30,40,15,yuck,600000,satisfied,110,"[22, 24, 4, 12, 21, 17, 14, 3, 9, 29, 10, 25, 23, 11, 13, 26, 1, 19, 2, 20, 18, 7, 27, 30, 16, 28, 15, 6, 5, 8]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C1-5.txt,30,40,15,yuck,600000,satisfied,109,"[24, 17, 22, 4, 9, 14, 12, 3, 23, 25, 19, 10, 2, 29, 11, 1, 21, 26, 13, 27, 15, 28, 18, 16, 20, 30, 6, 5, 7, 8]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C1-6.txt,30,40,15,yuck,600000,satisfied,115,"[7, 1, 24, 14, 18, 3, 16, 17, 6, 13, 23, 25, 10, 28, 21, 22, 11, 19, 30, 15, 26, 27, 20, 2, 12, 4, 8, 29, 5, 9]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C1-7.txt,30,40,15,yuck,600000,satisfied,119,"[17, 22, 30, 1, 24, 9, 3, 12, 29, 25, 10, 13, 11, 28, 23, 4, 26, 8, 14, 2, 15, 19, 20, 27, 16, 5, 18, 7, 21, 6]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C1-8.txt,30,40,15,yuck,600000,satisfied,106,"[4, 18, 22, 24, 17, 9, 12, 23, 29, 11, 26, 25, 19, 10, 21, 13, 7, 3, 1, 16, 2, 30, 27, 14, 5, 15, 6, 20, 28, 8]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C1-9.txt,30,40,15,yuck,600000,satisfied,125,"[14, 22, 17, 24, 4, 12, 3, 9, 25, 21, 23, 10, 13, 30, 1, 11, 26, 19, 27, 28, 20, 2, 29, 18, 15, 7, 8, 16, 6, 5]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C2-1.txt,30,40,17,yuck,600000,satisfied,101,"[22, 9, 17, 24, 25, 14, 12, 4, 3, 13, 11, 10, 29, 21, 26, 23, 28, 19, 1, 27, 20, 18, 2, 15, 30, 16, 7, 5, 8, 6]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C2-10.txt,30,40,17,yuck,600000,satisfied,90,"[14, 22, 24, 4, 17, 3, 12, 9, 29, 25, 23, 11, 10, 13, 21, 26, 1, 28, 19, 2, 30, 20, 27, 18, 15, 7, 16, 8, 5, 6]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C2-2.txt,30,40,17,yuck,600000,satisfied,108,"[22, 24, 17, 12, 14, 4, 9, 29, 3, 23, 21, 8, 10, 19, 13, 26, 1, 28, 11, 20, 15, 2, 30, 27, 18, 5, 16, 6, 25, 7]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C2-3.txt,30,40,17,yuck,600000,satisfied,99,"[4, 18, 25, 8, 10, 14, 1, 22, 16, 13, 21, 26, 17, 30, 27, 5, 15, 7, 12, 29, 20, 9, 3, 28, 2, 23, 6, 11, 19, 24]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C2-4.txt,30,40,17,yuck,600000,satisfied,96,"[22, 12, 4, 17, 3, 14, 9, 11, 24, 10, 23, 13, 25, 21, 19, 29, 1, 26, 15, 28, 30, 2, 20, 18, 7, 27, 16, 5, 8, 6]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/C2-5.txt,30,40,17,yuck,600000,satisfied,99,"[18, 4, 23, 8, 10, 6, 22, 1, 16, 21, 13, 26, 30, 17, 19, 14, 15, 9, 27, 20, 7, 28, 3, 12, 25, 5, 2, 29, 24, 11]"
